tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-mass,animal-sex,animal-taxon-detail,attachment-type,deployment-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
65794,65794,Aptenodytes forsteri,2019-01-10 16:16:16.000,2020-01-17 10:19:00.000,fledging juveniles of the year,juvenile,12000.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65794,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65792,65792,Aptenodytes forsteri,2019-01-10 16:19:33.000,2019-07-14 10:32:08.000,fledging juveniles of the year,juvenile,13900.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65792,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65787,65787,Aptenodytes forsteri,2019-01-11 04:34:52.000,2020-01-20 06:23:02.000,fledging juveniles of the year,juvenile,15000.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65787,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65791,65791,Aptenodytes forsteri,2019-01-11 06:15:49.000,2019-06-02 10:36:27.000,fledging juveniles of the year,juvenile,13200.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65791,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65789,65789,Aptenodytes forsteri,2019-01-11 16:37:14.000,2019-03-25 16:06:48.000,fledging juveniles of the year,juvenile,15000.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65789,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65793,65793,Aptenodytes forsteri,2019-01-11 19:06:50.000,2019-06-19 10:09:01.000,fledging juveniles of the year,juvenile,13200.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65793,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65790,65790,Aptenodytes forsteri,2019-01-11 19:09:24.000,2020-01-15 05:04:17.000,fledging juveniles of the year,juvenile,13500.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65790,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
65788,65788,Aptenodytes forsteri,2019-01-12 16:28:02.000,2019-07-04 10:23:27.000,fledging juveniles of the year,juvenile,16100.0,u,Emperor penguin,tape,"attached on the back of bird using tape subsequently covered with epoxy; birds were blood sampled, weighed, flipper/beak measured and marked with a subcutaneous transponder; see Houstin et al. (2022) https://doi.org/10.1371/journal.pone.0265849",transmission-end,65788,none,Atka Bay Colony,Wildlife Computers,SPOT-367,satellite
